date,vaccine,total_vaccinations,location
2021-06-18,Pfizer/BioNTech,5664095,South Korea
2021-06-19,Johnson&Johnson,1146144,South Korea
2021-06-19,Moderna,45945,South Korea
2021-06-19,Oxford/AstraZeneca,11222434,South Korea
2021-06-19,Pfizer/BioNTech,5689181,South Korea
2021-06-20,Johnson&Johnson,1146585,South Korea
2021-06-20,Moderna,46079,South Korea
2021-06-20,Oxford/AstraZeneca,11223097,South Korea
2021-06-20,Pfizer/BioNTech,5690820,South Korea
2021-06-21,Johnson&Johnson,1150345,South Korea
2021-06-21,Moderna,46978,South Korea
2021-06-21,Oxford/AstraZeneca,11240689,South Korea
2021-06-21,Pfizer/BioNTech,5831174,South Korea
2021-06-22,Johnson&Johnson,1153312,South Korea
2021-06-22,Moderna,48255,South Korea
2021-06-22,Oxford/AstraZeneca,11261518,South Korea
2021-06-22,Pfizer/BioNTech,5978784,South Korea
2021-06-23,Johnson&Johnson,1154812,South Korea
2021-06-23,Moderna,51524,South Korea
2021-06-23,Oxford/AstraZeneca,11280226,South Korea
2021-06-23,Pfizer/BioNTech,6119641,South Korea
2021-06-24,Johnson&Johnson,1155628,South Korea
2021-06-24,Moderna,55225,South Korea
2021-06-24,Oxford/AstraZeneca,11297010,South Korea
2021-06-24,Pfizer/BioNTech,6252659,South Korea
2021-06-25,Johnson&Johnson,1156271,South Korea
2021-06-25,Moderna,65369,South Korea
2021-06-25,Oxford/AstraZeneca,11313757,South Korea
2021-06-25,Pfizer/BioNTech,6387393,South Korea
2021-06-26,Johnson&Johnson,1156427,South Korea
2021-06-26,Moderna,66384,South Korea
2021-06-26,Oxford/AstraZeneca,11315091,South Korea
2021-06-26,Pfizer/BioNTech,6421531,South Korea
2021-06-27,Johnson&Johnson,1156472,South Korea
2021-06-27,Moderna,66587,South Korea
2021-06-27,Oxford/AstraZeneca,11315650,South Korea
2021-06-27,Pfizer/BioNTech,6422983,South Korea
2021-06-28,Johnson&Johnson,1157413,South Korea
2021-06-28,Moderna,71370,South Korea
2021-06-28,Oxford/AstraZeneca,11325797,South Korea
2021-06-28,Pfizer/BioNTech,6565835,South Korea
2021-06-29,Johnson&Johnson,1158513,South Korea
2021-06-29,Moderna,80024,South Korea
2021-06-29,Oxford/AstraZeneca,11340187,South Korea
2021-06-29,Pfizer/BioNTech,6704487,South Korea
2021-06-30,Johnson&Johnson,1159777,South Korea
2021-06-30,Moderna,85863,South Korea
2021-06-30,Oxford/AstraZeneca,11354481,South Korea
2021-06-30,Pfizer/BioNTech,6836025,South Korea
2021-07-01,Johnson&Johnson,1160969,South Korea
2021-07-01,Moderna,87439,South Korea
2021-07-01,Oxford/AstraZeneca,11372435,South Korea
2021-07-01,Pfizer/BioNTech,6942282,South Korea
2021-07-02,Johnson&Johnson,1162167,South Korea
2021-07-02,Moderna,89294,South Korea
2021-07-02,Oxford/AstraZeneca,11396645,South Korea
2021-07-02,Pfizer/BioNTech,7043047,South Korea
2021-07-03,Johnson&Johnson,1162616,South Korea
2021-07-03,Moderna,90443,South Korea
2021-07-03,Oxford/AstraZeneca,11398027,South Korea
2021-07-03,Pfizer/BioNTech,7060314,South Korea
2021-07-04,Johnson&Johnson,1162640,South Korea
2021-07-04,Moderna,90617,South Korea
2021-07-04,Oxford/AstraZeneca,11398473,South Korea
2021-07-04,Pfizer/BioNTech,7061679,South Korea
2021-07-05,Johnson&Johnson,1162679,South Korea
2021-07-05,Moderna,94064,South Korea
2021-07-05,Oxford/AstraZeneca,11436672,South Korea
2021-07-05,Pfizer/BioNTech,7153622,South Korea
2021-07-06,Johnson&Johnson,1162758,South Korea
2021-07-06,Moderna,98898,South Korea
2021-07-06,Oxford/AstraZeneca,11480302,South Korea
2021-07-06,Pfizer/BioNTech,7237032,South Korea
2021-07-07,Johnson&Johnson,1162886,South Korea
2021-07-07,Moderna,103304,South Korea
2021-07-07,Oxford/AstraZeneca,11524434,South Korea
2021-07-07,Pfizer/BioNTech,7315318,South Korea
2021-07-08,Johnson&Johnson,1162993,South Korea
2021-07-08,Moderna,108679,South Korea
2021-07-08,Oxford/AstraZeneca,11577584,South Korea
2021-07-08,Pfizer/BioNTech,7403659,South Korea
2021-07-09,Johnson&Johnson,1163096,South Korea
2021-07-09,Moderna,115750,South Korea
2021-07-09,Oxford/AstraZeneca,11662982,South Korea
2021-07-09,Pfizer/BioNTech,7520753,South Korea
2021-07-10,Johnson&Johnson,1163154,South Korea
2021-07-10,Moderna,116065,South Korea
2021-07-10,Oxford/AstraZeneca,11694949,South Korea
2021-07-10,Pfizer/BioNTech,7542520,South Korea
2021-07-11,Johnson&Johnson,1163172,South Korea
2021-07-11,Moderna,116266,South Korea
2021-07-11,Oxford/AstraZeneca,11696190,South Korea
2021-07-11,Pfizer/BioNTech,7543944,South Korea
2021-07-12,Johnson&Johnson,1163231,South Korea
2021-07-12,Moderna,116671,South Korea
2021-07-12,Oxford/AstraZeneca,11750451,South Korea
2021-07-12,Pfizer/BioNTech,7616316,South Korea
2021-07-13,Johnson&Johnson,1163312,South Korea
2021-07-13,Moderna,117239,South Korea
