date,vaccine,total_vaccinations,location
2021-03-25,Moderna,430824,Italy
2021-03-25,Oxford/AstraZeneca,1644257,Italy
2021-03-25,Pfizer/BioNTech,6934012,Italy
2021-03-26,Johnson&Johnson,112,Italy
2021-03-26,Moderna,450464,Italy
2021-03-26,Oxford/AstraZeneca,1728244,Italy
2021-03-26,Pfizer/BioNTech,7102760,Italy
2021-03-27,Johnson&Johnson,116,Italy
2021-03-27,Moderna,479581,Italy
2021-03-27,Oxford/AstraZeneca,1796591,Italy
2021-03-27,Pfizer/BioNTech,7246930,Italy
2021-03-28,Johnson&Johnson,117,Italy
2021-03-28,Moderna,497041,Italy
2021-03-28,Oxford/AstraZeneca,1852497,Italy
2021-03-28,Pfizer/BioNTech,7337490,Italy
2021-03-29,Moderna,521700,Italy
2021-03-29,Oxford/AstraZeneca,1926079,Italy
2021-03-29,Pfizer/BioNTech,7483390,Italy
2021-03-30,Johnson&Johnson,120,Italy
2021-03-30,Moderna,550975,Italy
2021-03-30,Oxford/AstraZeneca,2001359,Italy
2021-03-30,Pfizer/BioNTech,7649474,Italy
2021-03-31,Johnson&Johnson,141,Italy
2021-03-31,Moderna,574586,Italy
2021-03-31,Oxford/AstraZeneca,2073917,Italy
2021-03-31,Pfizer/BioNTech,7860590,Italy
2021-04-01,Johnson&Johnson,146,Italy
2021-04-01,Moderna,599921,Italy
2021-04-01,Oxford/AstraZeneca,2130106,Italy
2021-04-01,Pfizer/BioNTech,8067590,Italy
2021-04-02,Johnson&Johnson,147,Italy
2021-04-02,Moderna,630597,Italy
2021-04-02,Oxford/AstraZeneca,2197061,Italy
2021-04-02,Pfizer/BioNTech,8253507,Italy
2021-04-03,Johnson&Johnson,150,Italy
2021-04-03,Moderna,667111,Italy
2021-04-03,Oxford/AstraZeneca,2244584,Italy
2021-04-03,Pfizer/BioNTech,8400220,Italy
2021-04-04,Moderna,679099,Italy
2021-04-04,Oxford/AstraZeneca,2282983,Italy
2021-04-04,Pfizer/BioNTech,8446119,Italy
2021-04-05,Johnson&Johnson,155,Italy
2021-04-05,Moderna,699407,Italy
2021-04-05,Oxford/AstraZeneca,2342118,Italy
2021-04-05,Pfizer/BioNTech,8537986,Italy
2021-04-06,Johnson&Johnson,200,Italy
2021-04-06,Moderna,740298,Italy
2021-04-06,Oxford/AstraZeneca,2427788,Italy
2021-04-06,Pfizer/BioNTech,8698227,Italy
2021-04-07,Johnson&Johnson,203,Italy
2021-04-07,Moderna,770535,Italy
2021-04-07,Oxford/AstraZeneca,2511073,Italy
2021-04-07,Pfizer/BioNTech,8919574,Italy
2021-04-08,Johnson&Johnson,205,Italy
2021-04-08,Moderna,805050,Italy
2021-04-08,Oxford/AstraZeneca,2569331,Italy
2021-04-08,Pfizer/BioNTech,9166688,Italy
2021-04-09,Johnson&Johnson,219,Italy
2021-04-09,Moderna,841391,Italy
2021-04-09,Oxford/AstraZeneca,2622518,Italy
2021-04-09,Pfizer/BioNTech,9413668,Italy
2021-04-10,Johnson&Johnson,223,Italy
2021-04-10,Moderna,882599,Italy
2021-04-10,Oxford/AstraZeneca,2683519,Italy
2021-04-10,Pfizer/BioNTech,9633341,Italy
2021-04-11,Johnson&Johnson,227,Italy
2021-04-11,Moderna,900590,Italy
2021-04-11,Oxford/AstraZeneca,2720893,Italy
2021-04-11,Pfizer/BioNTech,9780355,Italy
2021-04-12,Johnson&Johnson,235,Italy
2021-04-12,Moderna,925376,Italy
2021-04-12,Oxford/AstraZeneca,2799714,Italy
2021-04-12,Pfizer/BioNTech,9944711,Italy
2021-04-13,Johnson&Johnson,240,Italy
2021-04-13,Moderna,953670,Italy
2021-04-13,Oxford/AstraZeneca,2895625,Italy
2021-04-13,Pfizer/BioNTech,10110910,Italy
2021-04-14,Johnson&Johnson,242,Italy
2021-04-14,Moderna,980957,Italy
2021-04-14,Oxford/AstraZeneca,2996719,Italy
2021-04-14,Pfizer/BioNTech,10304705,Italy
2021-04-15,Moderna,1006119,Italy
2021-04-15,Oxford/AstraZeneca,3087535,Italy
2021-04-15,Pfizer/BioNTech,10541499,Italy
2021-04-16,Johnson&Johnson,244,Italy
2021-04-16,Moderna,1027837,Italy
2021-04-16,Oxford/AstraZeneca,3195103,Italy
2021-04-16,Pfizer/BioNTech,10793395,Italy
2021-04-17,Moderna,1050436,Italy
2021-04-17,Oxford/AstraZeneca,3303841,Italy
2021-04-17,Pfizer/BioNTech,11022924,Italy
2021-04-18,Johnson&Johnson,245,Italy
2021-04-18,Moderna,1063982,Italy
2021-04-18,Oxford/AstraZeneca,3376680,Italy
2021-04-18,Pfizer/BioNTech,11179160,Italy
2021-04-19,Johnson&Johnson,247,Italy
2021-04-19,Moderna,1081246,Italy
2021-04-19,Oxford/AstraZeneca,3473257,Italy
2021-04-19,Pfizer/BioNTech,11376959,Italy
2021-04-20,Johnson&Johnson,248,Italy
2021-04-20,Moderna,1105410,Italy
2021-04-20,Oxford/AstraZeneca,3570562,Italy
2021-04-20,Pfizer/BioNTech,11590084,Italy
2021-04-21,Johnson&Johnson,251,Italy
2021-04-21,Moderna,1135781,Italy
2021-04-21,Oxford/AstraZeneca,3672745,Italy
2021-04-21,Pfizer/BioNTech,11831732,Italy
2021-04-22,Johnson&Johnson,542,Italy
2021-04-22,Moderna,1168948,Italy
2021-04-22,Oxford/AstraZeneca,3764478,Italy
2021-04-22,Pfizer/BioNTech,12106904,Italy
2021-04-23,Johnson&Johnson,1087,Italy
2021-04-23,Moderna,1202148,Italy
2021-04-23,Oxford/AstraZeneca,3860956,Italy
2021-04-23,Pfizer/BioNTech,12383180,Italy
2021-04-24,Johnson&Johnson,4123,Italy
