iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BMU,North America,Bermuda,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101341.0,48464.0,47365.0,5512.0,,1224.0,163.21,78.05,76.28,8.88,19713.0,47.22,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BTN,Asia,Bhutan,2021-11-10,2623.0,0.0,0.143,3.0,0.0,0.0,3363.252,0.0,0.183,3.847,0.0,0.0,0.63,,,,,,,,,2150.0,1209931.0,1551.392,2.757,1537.0,1.971,0.0,5374.1,samples tested,1148146.0,588307.0,559839.0,,,6241.0,147.22,75.43,71.78,,8002.0,47.22,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2021-11-10,519669.0,799.0,712.857,18976.0,6.0,5.714,43917.165,67.523,60.243,1603.659,0.507,0.483,1.24,,,,,,,,,3092.0,2647751.0,223.761,0.261,5117.0,0.432,0.121,8.3,tests performed,7943468.0,4619842.0,3913343.0,357585.0,82022.0,17874.0,67.13,39.04,33.07,3.02,1511.0,35.19,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BIH,Europe,Bosnia and Herzegovina,2021-11-10,261799.0,962.0,784.571,11891.0,22.0,29.429,80221.323,294.779,240.411,3643.68,6.741,9.018,1.06,,,,,,,,,4322.0,1332707.0,408.373,1.324,3092.0,0.947,0.272,3.7,tests performed,1479596.0,797531.0,682065.0,,,7419.0,45.34,24.44,20.9,,2273.0,35.19,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2021-11-10,193449.0,0.0,881.143,2409.0,0.0,0.286,80696.551,0.0,367.566,1004.906,0.0,0.119,0.8,,,,,,,,,,1824059.0,760.9,,1731.0,0.722,0.138,7.2,tests performed,1028674.0,722374.0,306300.0,,,12108.0,42.91,30.13,12.78,,5051.0,13.89,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2021-11-10,21909298.0,12273.0,10501.857,610036.0,280.0,257.286,102383.035,57.352,49.076,2850.723,1.308,1.202,0.93,,,,,,,,,,,,,,,,,,279097836.0,160675863.0,123166636.0,9935578.0,,398770.0,130.42,75.08,57.56,4.64,1863.0,40.28,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34377.0,18041.0,16336.0,,,72.0,113.0,59.3,53.7,,2367.0,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,2021-11-10,13962.0,98.0,73.714,93.0,0.0,0.571,31621.717,221.954,166.951,210.63,0.0,1.294,0.87,,,,,,,,,,,,,,,,,,643231.0,355752.0,287479.0,,2510.0,4213.0,145.68,80.57,65.11,,9542.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2021-11-10,646856.0,3853.0,3938.857,25754.0,199.0,166.429,93792.715,558.677,571.126,3734.274,28.855,24.132,1.06,685.0,99.324,7880.0,1142.583,,,,,,5897181.0,855.078,,38169.0,5.534,0.1,10.0,tests performed,2995814.0,,1579989.0,,16971.0,14616.0,43.44,,22.91,,2119.0,53.7,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2021-11-10,15281.0,178.0,25.429,234.0,13.0,1.857,710.84,8.28,1.183,10.885,0.605,0.086,0.34,,,,,,,,,,,,,,,,,,661796.0,364565.0,297231.0,,,5635.0,3.08,1.7,1.38,,262.0,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
