location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Belgium,2021-01-22,70-79,2.61,0.01
Belgium,2021-01-22,80+,15.15,0.07
Belgium,2021-01-29,18-24,1.53,0.04
Belgium,2021-01-29,25-49,2.38,0.11
Belgium,2021-01-29,50-59,2.89,0.16
Belgium,2021-01-29,60-69,2.16,0.16
Belgium,2021-01-29,70-79,3.04,0.36
Belgium,2021-01-29,80+,16.41,2.14
Belgium,2021-02-05,18-24,1.82,0.23
Belgium,2021-02-05,25-49,2.92,0.51
Belgium,2021-02-05,50-59,3.49,0.73
Belgium,2021-02-05,60-69,2.55,0.69
Belgium,2021-02-05,70-79,3.26,1.51
Belgium,2021-02-05,80+,17.04,9.96
Belgium,2021-02-12,18-24,2.02,0.92
Belgium,2021-02-12,25-49,3.32,1.5
Belgium,2021-02-12,50-59,4.0,1.92
Belgium,2021-02-12,60-69,2.85,1.56
Belgium,2021-02-12,70-79,3.41,2.52
Belgium,2021-02-12,80+,17.36,14.47
Belgium,2021-02-19,18-24,2.46,1.47
Belgium,2021-02-19,25-49,4.01,2.27
Belgium,2021-02-19,50-59,4.73,2.79
Belgium,2021-02-19,60-69,3.19,2.1
Belgium,2021-02-19,70-79,3.55,2.94
Belgium,2021-02-19,80+,17.5,15.73
Belgium,2021-02-26,18-24,3.18,1.72
Belgium,2021-02-26,25-49,5.38,2.7
Belgium,2021-02-26,50-59,6.14,3.27
Belgium,2021-02-26,60-69,3.66,2.41
Belgium,2021-02-26,70-79,3.71,3.16
Belgium,2021-02-26,80+,17.63,16.4
Belgium,2021-03-05,18-24,4.39,1.92
Belgium,2021-03-05,25-49,7.28,3.12
Belgium,2021-03-05,50-59,8.12,3.76
Belgium,2021-03-05,60-69,4.62,2.7
Belgium,2021-03-05,70-79,4.36,3.29
Belgium,2021-03-05,80+,18.74,16.7
Belgium,2021-03-12,18-24,5.49,2.32
Belgium,2021-03-12,25-49,8.84,3.73
Belgium,2021-03-12,50-59,9.82,4.46
Belgium,2021-03-12,60-69,6.3,3.12
Belgium,2021-03-12,70-79,6.04,3.45
Belgium,2021-03-12,80+,20.79,16.88
Belgium,2021-03-19,18-24,6.47,2.83
Belgium,2021-03-19,25-49,9.85,4.47
Belgium,2021-03-19,50-59,11.29,5.37
Belgium,2021-03-19,60-69,8.64,3.59
Belgium,2021-03-19,70-79,11.31,3.62
Belgium,2021-03-19,80+,33.98,17.04
Belgium,2021-03-26,18-24,7.02,3.35
Belgium,2021-03-26,25-49,10.49,5.17
Belgium,2021-03-26,50-59,12.19,6.31
Belgium,2021-03-26,60-69,10.48,4.28
Belgium,2021-03-26,70-79,18.55,4.11
Belgium,2021-03-26,80+,51.62,18.05
Belgium,2021-04-02,18-24,7.4,3.81
Belgium,2021-04-02,25-49,11.01,5.69
Belgium,2021-04-02,50-59,12.9,7.21
Belgium,2021-04-02,60-69,12.45,5.39
Belgium,2021-04-02,70-79,26.49,4.96
Belgium,2021-04-02,80+,73.72,19.05
Belgium,2021-04-09,18-24,7.73,4.07
Belgium,2021-04-09,25-49,11.45,6.02
Belgium,2021-04-09,50-59,13.73,7.65
Belgium,2021-04-09,60-69,17.43,6.02
Belgium,2021-04-09,70-79,52.46,6.32
Belgium,2021-04-09,80+,80.78,21.41
Belgium,2021-04-16,18-24,8.21,4.26
Belgium,2021-04-16,25-49,11.87,6.26
Belgium,2021-04-16,50-59,15.3,7.98
Belgium,2021-04-16,60-69,25.25,6.63
Belgium,2021-04-16,70-79,77.8,8.34
