Country,Year,Deaths,Incomplete deaths
Sweden,604,2.4,
Sweden,605,2.4,
Sweden,606,2.9,
Sweden,607,2.6,
Sweden,608,2.1,
Sweden,609,2.0,
Sweden,610,2.7,
Sweden,611,3.1,
Sweden,612,3.4,
Sweden,613,3.6,
Sweden,614,3.7,
Sweden,615,4.0,
Sweden,616,5.1,
Sweden,617,5.4,
Sweden,618,6.6,
Sweden,619,6.7,
Sweden,620,7.0,
Sweden,621,7.6,
Sweden,622,8.0,
Sweden,623,7.7,
Sweden,624,8.3,
Sweden,625,7.7,
Sweden,626,7.6,
Sweden,627,7.3,
Sweden,628,6.7,
Sweden,629,6.7,
Sweden,630,7.0,
Sweden,631,6.1,
Sweden,632,6.0,
Sweden,633,6.1,
Sweden,634,6.1,
Sweden,635,6.0,
Sweden,636,5.6,
Sweden,637,5.1,
Sweden,638,5.0,
Sweden,639,4.9,
Sweden,640,5.1,
Sweden,641,5.6,
Sweden,642,5.9,
Sweden,643,6.1,
Sweden,644,6.7,
Sweden,645,7.1,
Sweden,646,7.6,
Sweden,647,7.6,
Sweden,648,7.0,
Sweden,649,7.0,
Sweden,650,6.7,
Sweden,651,6.1,
Sweden,652,5.6,
Sweden,653,4.6,
Sweden,654,4.6,
Sweden,655,4.6,
Sweden,656,4.6,
Sweden,657,4.4,
Sweden,658,3.9,
Sweden,659,3.9,
Sweden,660,4.1,
Sweden,661,3.7,
Sweden,662,3.1,
Sweden,663,3.3,
Sweden,664,3.4,
Sweden,665,3.6,
Sweden,666,3.9,
Sweden,667,4.0,
Sweden,668,3.9,
Sweden,669,4.3,
Sweden,670,3.7,
Sweden,671,3.9,
Sweden,672,4.7,
Sweden,673,4.1,
Sweden,674,4.1,
Sweden,675,4.9,
Sweden,676,4.7,
Sweden,677,4.7,
Sweden,678,5.1,
Sweden,679,4.0,
Sweden,680,4.9,
Sweden,681,5.1,
Sweden,682,4.4,
Sweden,683,4.4,
Sweden,684,5.0,
Sweden,685,4.6,
Sweden,686,4.7,
Sweden,687,4.1,
Sweden,688,4.1,
Sweden,689,4.1,
Sweden,690,4.1,
Sweden,691,3.7,
Sweden,692,3.6,
Sweden,693,3.4,
Sweden,694,2.9,
Sweden,695,2.3,
Sweden,696,2.3,
Sweden,697,2.1,
Sweden,698,2.6,
Sweden,699,2.7,
Sweden,700,2.7,
Sweden,701,3.3,
Sweden,702,3.3,
Sweden,703,3.6,
Sweden,704,4.1,
Sweden,705,4.0,
Sweden,706,4.4,
Sweden,707,4.7,
Sweden,708,5.0,
Sweden,709,5.1,
Sweden,710,5.7,
Sweden,711,5.3,
Sweden,712,5.4,
Sweden,713,4.7,
Sweden,714,4.9,
Sweden,715,5.3,
Sweden,716,5.9,
Sweden,717,6.3,
Sweden,718,6.7,
Sweden,719,6.9,
Sweden,720,7.3,
Sweden,721,7.0,
Sweden,722,6.6,
Sweden,723,6.7,
Sweden,724,6.1,
Sweden,725,5.9,
Sweden,726,6.4,
Sweden,727,7.1,
Sweden,728,7.6,
Sweden,729,8.0,
Sweden,730,7.7,7.7
Sweden,731,,8.0
Sweden,732,,9.1
Sweden,733,,10.1
Sweden,734,,11.0
Sweden,735,,12.3
Sweden,736,,12.9
Sweden,737,,13.0
Sweden,738,,13.3
Sweden,739,,12.7
Sweden,740,,11.3
Sweden,741,,10.4
Sweden,742,,9.0
Sweden,743,,7.1
